Timestamp,State,Trial Number,Phase,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1737325497.2562325,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.2774398,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.2994714,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.3203561,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.3417833,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.3631878,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.3858538,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.4067123,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.4289,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.4497545,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.4708848,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.4918935,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.5129395,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.5340898,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.5550296,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.5759735,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.596918,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.6178339,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.6389236,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.6597986,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.680847,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.7019665,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325497.7229605,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
